year,cat_sub,rate
1999,TAKTL,Inf
1999,TBEIT,Inf
1999,TDISE,Inf
1999,TDISG,Inf
1999,TDISK,Inf
1999,TDISM,Inf
1999,TDMLK,Inf
1999,TGRUN,Inf
1999,TMPSS,Inf
1999,TPROD,95000
1999,TUTMK,Inf
1999,TVELF,48000
1999,TATIL,Inf
2000,TAKTL,Inf
2000,TBEIT,Inf
2000,TDISE,Inf
2000,TDISG,Inf
2000,TDISK,Inf
2000,TDISM,Inf
2000,TDMLK,Inf
2000,TGRUN,Inf
2000,TMPSS,Inf
2000,TPROD,105000
2000,TUTMK,Inf
2000,TVELF,48500
2000,TATIL,Inf
2001,TAKTL,Inf
2001,TBEIT,Inf
2001,TDISE,Inf
2001,TDISG,Inf
2001,TDISK,Inf
2001,TDISM,Inf
2001,TDMLK,Inf
2001,TGRUN,Inf
2001,TMPSS,Inf
2001,TPROD,120000
2001,TUTMK,Inf
2001,TVELF,50000
2001,TATIL,Inf
2002,TAKTL,Inf
2002,TBEIT,Inf
2002,TDISE,Inf
2002,TDISG,Inf
2002,TDISK,Inf
2002,TDISM,Inf
2002,TDMLK,Inf
2002,TGRUN,Inf
2002,TMPSS,Inf
2002,TPROD,125000
2002,TUTMK,Inf
2002,TVELF,50000
2002,TATIL,Inf
2003,TAKTL,Inf
2003,TBEIT,Inf
2003,TDISE,Inf
2003,TDISG,Inf
2003,TDISK,Inf
2003,TDISM,Inf
2003,TDMLK,Inf
2003,TGRUN,Inf
2003,TMPSS,Inf
2003,TPROD,140000
2003,TUTMK,Inf
2003,TVELF,50000
2003,TATIL,Inf
2004,TAKTL,Inf
2004,TBEIT,Inf
2004,TDISE,Inf
2004,TDISG,Inf
2004,TDISK,Inf
2004,TDISM,Inf
2004,TDMLK,Inf
2004,TGRUN,Inf
2004,TMPSS,Inf
2004,TPROD,150000
2004,TUTMK,Inf
2004,TVELF,50000
2004,TATIL,Inf
2005,TAKTL,Inf
2005,TBEIT,Inf
2005,TDISE,Inf
2005,TDISG,Inf
2005,TDISK,Inf
2005,TDISM,Inf
2005,TDMLK,Inf
2005,TGRUN,Inf
2005,TMPSS,Inf
2005,TPROD,200000
2005,TUTMK,Inf
2005,TVELF,50000
2005,TATIL,Inf
2006,TAKTL,Inf
2006,TBEIT,Inf
2006,TDISE,Inf
2006,TDISG,Inf
2006,TDISK,Inf
2006,TDISM,Inf
2006,TDMLK,Inf
2006,TGRUN,Inf
2006,TMPSS,Inf
2006,TPROD,200000
2006,TUTMK,Inf
2006,TVELF,51500
2006,TATIL,Inf
2007,TAKTL,Inf
2007,TBEIT,Inf
2007,TDISE,Inf
2007,TDISG,Inf
2007,TDISK,Inf
2007,TDISM,Inf
2007,TDMLK,Inf
2007,TGRUN,Inf
2007,TMPSS,Inf
2007,TPROD,200000
2007,TUTMK,Inf
2007,TVELF,55105
2007,TATIL,Inf
2008,TAKTL,Inf
2008,TBEIT,Inf
2008,TDISE,Inf
2008,TDISG,Inf
2008,TDISK,Inf
2008,TDISM,Inf
2008,TDMLK,Inf
2008,TGRUN,Inf
2008,TMPSS,Inf
2008,TPROD,220000
2008,TUTMK,Inf
2008,TVELF,58000
2008,TATIL,Inf
2009,TAKTL,Inf
2009,TBEIT,Inf
2009,TDISE,Inf
2009,TDISG,Inf
2009,TDISK,Inf
2009,TDISM,Inf
2009,TDMLK,Inf
2009,TGRUN,Inf
2009,TMPSS,Inf
2009,TPROD,240000
2009,TUTMK,Inf
2009,TVELF,61000
2009,TATIL,Inf
2010,TAKTL,Inf
2010,TBEIT,Inf
2010,TDISE,Inf
2010,TDISG,Inf
2010,TDISK,Inf
2010,TDISM,Inf
2010,TDMLK,Inf
2010,TGRUN,Inf
2010,TMPSS,Inf
2010,TPROD,250000
2010,TUTMK,Inf
2010,TVELF,64000
2010,TATIL,Inf
2011,TAKTL,Inf
2011,TBEIT,Inf
2011,TDISE,Inf
2011,TDISG,Inf
2011,TDISK,Inf
2011,TDISM,Inf
2011,TDMLK,Inf
2011,TGRUN,Inf
2011,TMPSS,Inf
2011,TPROD,250000
2011,TUTMK,Inf
2011,TVELF,66600
2011,TATIL,Inf
2012,TAKTL,Inf
2012,TBEIT,Inf
2012,TDISE,Inf
2012,TDISG,Inf
2012,TDISK,Inf
2012,TDISM,Inf
2012,TDMLK,Inf
2012,TGRUN,Inf
2012,TMPSS,Inf
2012,TPROD,275000
2012,TUTMK,Inf
2012,TVELF,69000
2012,TATIL,Inf
2013,TAKTL,Inf
2013,TBEIT,Inf
2013,TDISE,Inf
2013,TDISG,Inf
2013,TDISK,Inf
2013,TDISM,Inf
2013,TDMLK,Inf
2013,TGRUN,Inf
2013,TMPSS,Inf
2013,TPROD,280000
2013,TUTMK,Inf
2013,TVELF,72000
2013,TATIL,Inf
2014,TAKTL,Inf
2014,TBEIT,Inf
2014,TDISE,Inf
2014,TDISG,Inf
2014,TDISK,Inf
2014,TDISM,Inf
2014,TDMLK,Inf
2014,TGRUN,Inf
2014,TMPSS,Inf
2014,TPROD,280000
2014,TUTMK,Inf
2014,TVELF,73500
2014,TATIL,Inf
2015,TAKTL,Inf
2015,TBEIT,Inf
2015,TDISE,Inf
2015,TDISG,Inf
2015,TDISK,Inf
